AAU,9/30/2016,0,0,-1375533.13,-1186028.941
AAU,3/31/2017,0,0,-2151052.474,-1603281.109
AAU,9/30/2017,0,0,-2216056,-1752727.2
AAU,6/30/2017,0,0,-5584230,-5112851.538
AAU,12/31/2017,0,0,-2029652.003,-1438853.103
AAU,6/30/2018,0,0,-6770196.212,-6601992.424
AAU,3/31/2018,0,0,-3147666.15,-2687065.84
AAU,12/31/2018,0,0,-2614560,-2345468.148
AAU,9/30/2018,0,0,-2698273.485,-2137680.303
AAU,6/30/2019,0,0,-1233945.038,-836125.1908
AAU,3/31/2019,0,0,-1279029.323,-622863.1579
AAU,9/30/2014,36109.319,36109.319,-2751293.011,-2356130.824
AAU,12/31/2019,0,0,-924355.7252,-884399.2366
AAU,3/31/2020,0,0,-860015.8621,-552135.8621
AAU,6/30/2020,0,0,-502260.2941,-165369.8529
AAU,3/31/2023,0,0,-650721.7391,-230857.2464
AAU,3/31/2014,53896.92586,53896.92586,-1994331.826,-1194865.28
AAU,6/30/2023,0,0,-585296.9925,-264814.2857
AAU,9/30/2020,0,0,-229313.5338,-123169.9248
AAU,9/30/2023,0,0,-158936.2963,9111.111111
AAU,12/31/2022,0,0,-422539.4161,-169518.9781
AAU,3/31/2022,0,0,-839094.4444,-324295.2381
AAU,3/31/2021,0,0,-659688.7097,-551663.7097
AAU,12/31/2020,0,0,-591777.2549,-445805.4902
AAU,6/30/2021,0,0,-1162560.484,-607812.0968
AAU,9/30/2021,0,0,-772017.3228,-610346.4567
AAU,12/31/2021,0,0,-905360.9375,-454890.625
